order_id,order_delta_hour_t-1,order_delta_hour_t-2,order_delta_hour_t-3
551869,-1.0,-3.0,-2.0
2233579,6.0,5.0,3.0
768572,-5.0,1.0,0.0
46584,9.0,4.0,10.0
150528,-3.0,6.0,1.0
29758,-2.0,-5.0,4.0
2812906,-1.0,-3.0,-6.0
1558976,-4.0,-5.0,-7.0
863974,2.0,-2.0,-3.0
2308399,3.0,5.0,1.0
1931044,-2.0,1.0,3.0
2757217,-1.0,-3.0,0.0
2333802,,,
35187,2.0,,
1830818,7.0,9.0,
2253039,-6.0,1.0,3.0
1084179,-2.0,-8.0,-1.0
3117228,3.0,1.0,-5.0
3024191,1.0,4.0,2.0
643818,,,
360105,-2.0,,
1154777,2.0,0.0,
1386615,-1.0,1.0,-1.0
3391303,6.0,5.0,7.0
482516,-6.0,0.0,-1.0
721266,,,
2951016,-1.0,,
1505422,5.0,4.0,
3178292,1.0,6.0,5.0
3413579,2.0,3.0,8.0
1726905,-4.0,-2.0,-1.0
2965907,1.0,-3.0,-1.0
2128144,-3.0,-2.0,-6.0
2276967,3.0,0.0,1.0
2438150,,,
77613,12.0,,
1604284,-5.0,7.0,
780226,-4.0,-9.0,3.0
1197224,9.0,5.0,0.0
1645824,-5.0,4.0,0.0
1207960,,,
2093304,-7.0,,
2254976,1.0,-6.0,
3369359,1.0,2.0,-5.0
515651,0.0,1.0,2.0
726285,5.0,5.0,6.0
1025825,-1.0,4.0,4.0
3015626,1.0,0.0,5.0
2135028,-6.0,-5.0,-6.0
3346154,2.0,-4.0,-3.0
1157684,6.0,8.0,2.0
2414681,-2.0,4.0,6.0
551518,2.0,0.0,6.0
3241517,-3.0,-1.0,-3.0
3103900,1.0,-2.0,0.0
1672315,0.0,1.0,-2.0
484342,-2.0,-2.0,-1.0
1820029,3.0,1.0,1.0
2935007,-2.0,1.0,-1.0
3215600,-6.0,-8.0,-5.0
3245602,6.0,0.0,-2.0
3361344,-5.0,1.0,-5.0
1272879,-1.0,-6.0,0.0
3392471,8.0,7.0,2.0
599299,-7.0,1.0,0.0
3071740,2.0,-5.0,3.0
1573632,1.0,3.0,-4.0
1119910,-2.0,-1.0,1.0
3046542,4.0,2.0,3.0
557001,-7.0,-3.0,-5.0
2866881,5.0,-2.0,2.0
2289359,7.0,12.0,5.0
2343097,-2.0,5.0,10.0
458750,-8.0,-10.0,-3.0
385418,-1.0,-9.0,-11.0
1878887,0.0,-1.0,-9.0
405367,0.0,0.0,-1.0
2678520,6.0,6.0,6.0
414277,-4.0,2.0,2.0
556179,-1.0,-5.0,1.0
2695731,6.0,5.0,1.0
2637943,-5.0,1.0,0.0
2589449,10.0,5.0,11.0
1227180,-11.0,-1.0,-6.0
2473679,3.0,-8.0,2.0
1402772,2.0,5.0,-6.0
2783075,-1.0,1.0,4.0
714844,-5.0,-6.0,-4.0
1027521,7.0,2.0,1.0
1364045,0.0,7.0,2.0
919139,-5.0,-5.0,2.0
1330627,-1.0,-6.0,-6.0
2430333,-2.0,-3.0,-8.0
969286,1.0,-1.0,-2.0
2772901,8.0,9.0,7.0
3249907,1.0,9.0,10.0
3405538,-3.0,-2.0,6.0
888081,1.0,-2.0,-1.0
1829678,-7.0,-6.0,-9.0
2258898,6.0,-1.0,0.0
1148917,1.0,7.0,0.0
485663,-5.0,-4.0,2.0
919895,2.0,-3.0,-2.0
988141,-4.0,-2.0,-7.0
2121214,6.0,2.0,4.0
412724,-2.0,4.0,0.0
1257665,-7.0,-9.0,-3.0
1210466,3.0,-4.0,-6.0
832564,0.0,3.0,-4.0
2776994,8.0,8.0,11.0
1328876,-1.0,7.0,7.0
22418,-3.0,-4.0,4.0
3342071,0.0,-3.0,-4.0
3102380,-3.0,-3.0,-6.0
3369380,4.0,1.0,1.0
2272569,-4.0,0.0,-3.0
2560500,10.0,6.0,10.0
1288073,,,
1316394,-2.0,,
1856802,-5.0,-7.0,
1953050,3.0,-2.0,-4.0
66496,-3.0,0.0,-5.0
3403415,0.0,-3.0,0.0
1745578,2.0,2.0,-1.0
1587988,-2.0,0.0,0.0
386624,0.0,-2.0,0.0
1918376,6.0,6.0,4.0
4307,-1.0,5.0,5.0
1538979,-4.0,-5.0,1.0
623710,-4.0,-8.0,-9.0
2119357,11.0,7.0,3.0
917629,-9.0,2.0,-2.0
2653491,1.0,-8.0,3.0
1437090,-1.0,0.0,-9.0
3338972,-2.0,-3.0,-2.0
1783994,4.0,2.0,1.0
2445600,-2.0,2.0,0.0
1796668,-1.0,-3.0,1.0
1424588,0.0,-1.0,-3.0
3227144,6.0,6.0,5.0
721291,-4.0,2.0,2.0
115973,-1.0,-5.0,1.0
1136676,0.0,-1.0,-5.0
1464371,9.0,9.0,8.0
3325848,-9.0,0.0,0.0
642371,2.0,-7.0,2.0
3246512,9.0,11.0,2.0
1059506,-7.0,2.0,4.0
392270,-3.0,-10.0,-1.0
3219498,-1.0,-4.0,-11.0
1065067,1.0,0.0,-3.0
2511762,4.0,5.0,4.0
2230378,-4.0,0.0,1.0
3113449,-1.0,-5.0,-1.0
222009,-1.0,-2.0,-6.0
565184,2.0,1.0,0.0
3377958,-1.0,1.0,0.0
691475,0.0,-1.0,1.0
306455,0.0,0.0,-1.0
2944147,4.0,4.0,4.0
747657,-4.0,0.0,0.0
2060922,-1.0,-5.0,-1.0
376841,,,
3379815,-2.0,,
2661186,4.0,2.0,
3374094,-3.0,1.0,-1.0
1007973,-2.0,-5.0,-1.0
2623186,,,
898820,2.0,,
2137457,2.0,4.0,
1604803,-1.0,1.0,3.0
1308123,1.0,0.0,2.0
2667142,,,
1323045,1.0,,
2838356,-4.0,-3.0,
405196,9.0,5.0,6.0
1187640,1.0,10.0,6.0
719604,1.0,2.0,11.0
1677675,-5.0,-4.0,-3.0
502452,-8.0,-13.0,-12.0
1326496,11.0,3.0,-2.0
716387,-6.0,5.0,-3.0
3188773,5.0,-1.0,10.0
393745,2.0,7.0,1.0
1134884,-9.0,-7.0,-2.0
970901,-3.0,-12.0,-10.0
333665,2.0,-1.0,-10.0
2971002,4.0,6.0,3.0
2986530,-1.0,3.0,5.0
1502784,-4.0,-5.0,-1.0
3387023,2.0,-2.0,-3.0
1549594,-4.0,-2.0,-6.0
38900,2.0,-2.0,0.0
2868789,-1.0,1.0,-3.0
1811397,1.0,0.0,2.0
2109253,0.0,1.0,0.0
162718,-1.0,-1.0,0.0
695269,2.0,1.0,1.0
3242513,2.0,4.0,3.0
1842334,-8.0,-6.0,-4.0
2329269,-6.0,-14.0,-12.0
1612834,15.0,9.0,1.0
3361389,-1.0,14.0,8.0
1933430,9.0,8.0,23.0
2030141,-9.0,0.0,-1.0
1902701,1.0,-8.0,1.0
2787288,,,
3415661,-8.0,,
1614014,-3.0,-11.0,
2621348,-1.0,-4.0,-12.0
1276412,13.0,12.0,9.0
1961783,-6.0,7.0,6.0
491567,-6.0,-12.0,1.0
1310090,8.0,2.0,-4.0
2540774,-3.0,5.0,-1.0
1706165,-6.0,-9.0,-1.0
1719831,6.0,0.0,-3.0
2910577,-1.0,5.0,-1.0
526492,-2.0,-3.0,3.0
2800522,1.0,-1.0,-2.0
2939356,-3.0,-2.0,-4.0
2245822,4.0,1.0,2.0
2552443,-2.0,2.0,-1.0
618507,-4.0,-6.0,-2.0
1905175,9.0,5.0,3.0
870941,-7.0,2.0,-2.0
13118,6.0,-1.0,8.0
2615515,7.0,13.0,6.0
672462,,,
1951443,-6.0,,
1951445,-2.0,-8.0,
1082106,2.0,0.0,-6.0
464973,-8.0,-6.0,-8.0
870972,4.0,-4.0,-2.0
1344741,0.0,4.0,-4.0
726573,2.0,2.0,6.0
3386701,5.0,7.0,7.0
2341386,4.0,9.0,11.0
1861082,-1.0,3.0,8.0
1114536,-5.0,-6.0,-2.0
2533157,5.0,0.0,-1.0
2754554,-7.0,-2.0,-7.0
3286628,1.0,-6.0,-1.0
2680067,1.0,2.0,-5.0
1542654,-7.0,-6.0,-5.0
1233562,4.0,-3.0,-2.0
3142435,-4.0,0.0,-7.0
151077,4.0,0.0,4.0
396487,-3.0,1.0,-3.0
570573,12.0,9.0,13.0
855302,-3.0,9.0,6.0
2828586,-14.0,-17.0,-5.0
881159,5.0,-9.0,-12.0
2452465,-5.0,0.0,-14.0
3219348,9.0,4.0,9.0
2939623,6.0,15.0,10.0
1378411,-7.0,-1.0,8.0
1247825,7.0,0.0,6.0
1741510,-12.0,-5.0,-12.0
1283403,12.0,0.0,7.0
1604596,,,
1174203,3.0,,
221219,-5.0,-2.0,
3251692,2.0,-3.0,0.0
1233864,1.0,3.0,-2.0
791107,-3.0,-2.0,0.0
991770,5.0,2.0,3.0
3362531,0.0,5.0,2.0
712580,-3.0,-3.0,2.0
2235333,0.0,-3.0,-3.0
2658972,0.0,0.0,-3.0
1659229,-3.0,-3.0,-3.0
1053050,4.0,1.0,1.0
1019328,2.0,6.0,3.0
893466,0.0,2.0,6.0
243116,-1.0,-1.0,1.0
3406365,2.0,1.0,1.0
3003446,-2.0,0.0,-1.0
1562115,0.0,-2.0,0.0
736099,0.0,0.0,-2.0
3392713,-4.0,-4.0,-4.0
1723243,3.0,-1.0,-1.0
1608027,0.0,3.0,-1.0
955004,2.0,2.0,5.0
2059129,1.0,3.0,3.0
2564377,-7.0,-6.0,-4.0
394455,-2.0,-9.0,-8.0
2698993,2.0,0.0,-7.0
1219005,,,
1625970,11.0,,
3077187,-2.0,9.0,
3090743,-2.0,-4.0,7.0
3254401,2.0,0.0,-2.0
650872,0.0,2.0,0.0
14197,-3.0,-3.0,-1.0
61670,2.0,-1.0,-1.0
2052479,2.0,4.0,1.0
1841261,-3.0,-1.0,1.0
920620,-5.0,-8.0,-6.0
2487495,7.0,2.0,-1.0
162465,-6.0,1.0,-4.0
1230903,2.0,-4.0,3.0
3220277,2.0,4.0,-2.0
445804,-1.0,1.0,3.0
3311056,4.0,3.0,5.0
1320795,-5.0,-1.0,-2.0
2579234,-4.0,-9.0,-5.0
2428255,4.0,0.0,-5.0
3081353,1.0,5.0,1.0
2285295,2.0,3.0,7.0
3117061,-2.0,0.0,1.0
2065169,1.0,-1.0,1.0
2081151,-1.0,0.0,-2.0
2322540,2.0,1.0,2.0
838358,-1.0,1.0,0.0
2858219,3.0,2.0,4.0
2426419,-9.0,-6.0,-7.0
1657793,6.0,-3.0,0.0
2576507,0.0,6.0,-3.0
190149,3.0,3.0,9.0
805722,-4.0,-1.0,-1.0
3122153,0.0,-4.0,-1.0
2698917,0.0,0.0,-4.0
2762453,-5.0,-5.0,-5.0
2002675,8.0,3.0,3.0
1401922,-4.0,4.0,-1.0
1951775,-1.0,-5.0,3.0
222790,-4.0,-5.0,-9.0
2055081,5.0,1.0,0.0
1475084,2.0,7.0,3.0
2144600,0.0,2.0,7.0
1789225,-1.0,-1.0,1.0
1766555,-2.0,-3.0,-3.0
2269056,-1.0,-3.0,-4.0
2268775,6.0,5.0,3.0
29921,-5.0,1.0,0.0
175329,2.0,-3.0,3.0
99655,-2.0,0.0,-5.0
3140218,5.0,3.0,5.0
495322,-2.0,3.0,1.0
398960,-2.0,-4.0,1.0
1343011,-3.0,-5.0,-7.0
3035759,7.0,4.0,2.0
2018221,0.0,7.0,4.0
1975496,-8.0,-8.0,-1.0
2662692,6.0,-2.0,-2.0
2318705,-13.0,-7.0,-15.0
1765616,,,
1190729,4.0,,
1639611,4.0,8.0,
3152603,-3.0,1.0,5.0
903548,0.0,-3.0,1.0
439237,7.0,7.0,4.0
2400090,-1.0,6.0,6.0
148985,-7.0,-8.0,-1.0
1096353,0.0,-7.0,-8.0
142062,7.0,7.0,0.0
1567723,,,
1428278,7.0,,
3111525,-19.0,-12.0,
1231364,10.0,-9.0,-2.0
2008056,11.0,21.0,2.0
1415276,,,
2399202,-3.0,,
832896,-4.0,-7.0,
2114575,0.0,-4.0,-7.0
1434558,-2.0,-2.0,-6.0
2108633,2.0,0.0,0.0
2530704,1.0,3.0,1.0
2186425,5.0,6.0,8.0
10423,-9.0,-4.0,-3.0
579540,3.0,-6.0,-1.0
1172210,-3.0,0.0,-9.0
115603,3.0,0.0,3.0
2028245,7.0,10.0,7.0
3081810,-2.0,5.0,8.0
786762,,,
1640387,4.0,,
2810446,0.0,4.0,
871648,-1.0,-1.0,3.0
2248934,3.0,2.0,2.0
3135251,1.0,4.0,3.0
358525,-2.0,-1.0,2.0
332546,1.0,-1.0,0.0
3112883,-6.0,-5.0,-7.0
1591122,4.0,-2.0,-1.0
3390392,3.0,7.0,1.0
1332420,-3.0,0.0,4.0
1633041,-2.0,-5.0,-2.0
2218280,3.0,1.0,-2.0
2403255,-1.0,2.0,0.0
2908855,-1.0,-2.0,1.0
144890,,,
2063720,-8.0,,
730050,2.0,-6.0,
1224091,5.0,7.0,-1.0
988445,-4.0,1.0,3.0
1029614,2.0,-2.0,3.0
222179,3.0,5.0,1.0
2933869,-1.0,2.0,4.0
960774,-5.0,-6.0,-3.0
3391810,,,
3382590,2.0,,
1624036,-2.0,0.0,
2150572,0.0,-2.0,0.0
1874669,-2.0,-2.0,-4.0
3417147,2.0,0.0,0.0
2907591,-6.0,-4.0,-6.0
3076789,1.0,-5.0,-3.0
2353996,5.0,6.0,0.0
73511,4.0,9.0,10.0
2120733,-3.0,1.0,6.0
1907490,-2.0,-5.0,-1.0
427386,-3.0,-5.0,-8.0
247775,5.0,2.0,0.0
405284,-4.0,1.0,-2.0
1938023,5.0,1.0,6.0
310101,-8.0,-3.0,-7.0
1640044,8.0,0.0,5.0
569347,-1.0,7.0,-1.0
1791732,-8.0,-9.0,-1.0
2199107,0.0,-8.0,-9.0
1825768,3.0,3.0,-5.0
116744,7.0,10.0,10.0
537151,1.0,8.0,11.0
2277801,-1.0,0.0,7.0
1931573,-4.0,-5.0,-4.0
120295,-5.0,-9.0,-10.0
1001141,5.0,0.0,-4.0
40,2.0,7.0,2.0
14172,2.0,4.0,9.0
3374931,,,
477217,2.0,,
3417792,2.0,4.0,
3165308,-3.0,-1.0,1.0
535019,-2.0,-5.0,-3.0
2286621,10.0,8.0,5.0
442242,-7.0,3.0,1.0
1327694,,,
1703915,2.0,,
3219971,1.0,3.0,
370937,-3.0,-2.0,0.0
2067961,7.0,4.0,5.0
3300535,0.0,7.0,4.0
450448,8.0,8.0,15.0
2519825,-4.0,4.0,4.0
1918466,-10.0,-14.0,-6.0
2386318,1.0,-9.0,-13.0
1405422,14.0,15.0,5.0
2332090,-15.0,-1.0,0.0
592061,11.0,-4.0,10.0
1083882,-1.0,10.0,-5.0
1454689,4.0,3.0,14.0
1117731,,,
2248575,5.0,,
1296420,-3.0,2.0,
796354,-1.0,-4.0,1.0
663878,-1.0,-2.0,-5.0
2201325,0.0,-1.0,-2.0
956337,2.0,2.0,1.0
687854,-2.0,0.0,0.0
523966,1.0,-1.0,1.0
659655,1.0,2.0,0.0
2544082,,,
3091006,-2.0,,
666837,7.0,5.0,
722003,-1.0,6.0,4.0
271562,2.0,1.0,8.0
3151844,-9.0,-7.0,-8.0
245554,9.0,0.0,2.0
2198878,2.0,11.0,2.0
3218170,0.0,2.0,11.0
352189,-10.0,-10.0,-8.0
3378598,0.0,-10.0,-10.0
476209,0.0,0.0,-10.0
1956871,2.0,2.0,2.0
2811220,,,
66352,-1.0,,
973148,1.0,0.0,
1593980,-1.0,0.0,-1.0
751083,-2.0,-3.0,-2.0
2986081,3.0,1.0,0.0
2505094,-2.0,1.0,-1.0
3060500,3.0,1.0,4.0
2087542,-1.0,2.0,0.0
3340002,0.0,-1.0,2.0
1902597,-2.0,-2.0,-3.0
170524,0.0,-2.0,-2.0
543041,1.0,1.0,-1.0
817837,,,
2101254,-10.0,,
1749894,1.0,-9.0,
2841438,0.0,1.0,-9.0
1695054,0.0,0.0,1.0
91703,-3.0,-3.0,-3.0
2191621,9.0,6.0,6.0
1666391,-6.0,3.0,0.0
1670792,0.0,-6.0,3.0
444909,-1.0,-1.0,-7.0
2022314,0.0,-1.0,-1.0
1535673,3.0,3.0,2.0
3061646,-3.0,0.0,0.0
3196947,7.0,4.0,7.0
1211732,-7.0,0.0,-3.0
2762199,3.0,-4.0,3.0
2279927,-3.0,0.0,-7.0
1869386,6.0,3.0,6.0
2631955,-3.0,3.0,0.0
587910,2.0,-1.0,5.0
112780,3.0,5.0,2.0
3132629,-6.0,-3.0,-1.0
1315177,2.0,-4.0,-1.0
1032490,2.0,4.0,-2.0
1206693,3.0,5.0,7.0
2034144,-9.0,-6.0,-4.0
3189695,10.0,1.0,4.0
841553,-4.0,6.0,-3.0
3279233,-5.0,-9.0,1.0
3363870,-2.0,-7.0,-11.0
1732123,,,
2011265,1.0,,
1850174,-3.0,-2.0,
581103,-4.0,-7.0,-6.0
1798572,3.0,-1.0,-4.0
3733,5.0,8.0,4.0
139800,,,
1934961,1.0,,
631349,-2.0,-1.0,
1782701,-1.0,-3.0,-2.0
446397,5.0,4.0,2.0
630214,-5.0,0.0,-1.0
321506,,,
2933168,9.0,,
3258284,-5.0,4.0,
2132462,0.0,-5.0,4.0
1292059,,,
2151152,-6.0,,
2035569,1.0,-5.0,
1084533,0.0,1.0,-5.0
3272552,5.0,5.0,6.0
1405134,7.0,12.0,12.0
2050918,-8.0,-1.0,4.0
2123225,10.0,2.0,9.0
3154219,-10.0,0.0,-8.0
2677146,-4.0,-14.0,-4.0
1320607,5.0,1.0,-9.0
2079577,-3.0,2.0,-2.0
1635937,9.0,6.0,11.0
2184637,-7.0,2.0,-1.0
29667,9.0,2.0,11.0
2371654,-8.0,1.0,-6.0
1685512,1.0,-7.0,2.0
47583,-5.0,-4.0,-12.0
1374172,2.0,-3.0,-2.0
783434,-4.0,-2.0,-7.0
202431,,,
141996,7.0,,
2263029,-4.0,3.0,
2372024,1.0,-3.0,4.0
2120814,0.0,1.0,-3.0
2608338,1.0,1.0,2.0
600933,3.0,4.0,4.0
1359585,-4.0,-1.0,0.0
2375547,-6.0,-10.0,-7.0
1289601,2.0,-4.0,-8.0
178418,5.0,7.0,1.0
1084027,,,
1248295,1.0,,
1798471,-1.0,0.0,
909421,3.0,2.0,3.0
366052,-4.0,-1.0,-2.0
1496399,2.0,-2.0,1.0
451731,-1.0,1.0,-3.0
2647854,4.0,3.0,5.0
2851248,-4.0,0.0,-1.0
2625154,2.0,-2.0,2.0
1930310,0.0,2.0,-2.0
612200,5.0,5.0,7.0
301862,-8.0,-3.0,-3.0
3041346,6.0,-2.0,3.0
2345535,-3.0,3.0,-5.0
685634,-3.0,-6.0,0.0
611479,6.0,3.0,0.0
2165996,0.0,6.0,3.0
778447,0.0,0.0,6.0
1137144,-4.0,-4.0,-4.0
2693027,2.0,-2.0,-2.0
929031,3.0,5.0,1.0
1063308,-3.0,0.0,2.0
768600,-3.0,-6.0,-3.0
1667300,5.0,2.0,-1.0
45101,-5.0,0.0,-3.0
668820,1.0,-4.0,1.0
3277752,0.0,1.0,-4.0
1539705,1.0,1.0,2.0
918398,-4.0,-3.0,-3.0
1918485,10.0,6.0,7.0
254738,-3.0,7.0,3.0
2848201,3.0,0.0,10.0
3108731,-3.0,0.0,-3.0
100729,-4.0,-7.0,-4.0
1254724,0.0,-4.0,-7.0
1899564,0.0,0.0,-4.0
2801517,3.0,3.0,3.0
273097,-4.0,-1.0,-1.0
1367794,1.0,-3.0,0.0
1644377,4.0,5.0,1.0
2334508,-5.0,-1.0,0.0
697978,1.0,-4.0,0.0
2678968,-2.0,-1.0,-6.0
1048774,1.0,-1.0,0.0
2759070,1.0,2.0,0.0
2282652,4.0,5.0,6.0
847853,1.0,5.0,6.0
430476,-7.0,-6.0,-2.0
3323316,5.0,-2.0,-1.0
359429,-2.0,3.0,-4.0
1722450,5.0,3.0,8.0
1511539,-6.0,-1.0,-3.0
1836026,5.0,-1.0,4.0
2481354,-4.0,1.0,-5.0
2677967,-1.0,-5.0,0.0
2930749,-2.0,-3.0,-7.0
3133860,5.0,3.0,2.0
303902,4.0,9.0,7.0
1738759,-7.0,-3.0,2.0
2213075,,,
2024842,-6.0,,
1417779,-2.0,-8.0,
980285,7.0,5.0,-1.0
3181146,,,
2724247,9.0,,
815688,-6.0,3.0,
161255,8.0,2.0,11.0
2001518,-12.0,-4.0,-10.0
655704,7.0,-5.0,3.0
3370218,6.0,13.0,1.0
587095,-8.0,-2.0,5.0
965835,4.0,-4.0,2.0
340433,5.0,9.0,1.0
3316882,-1.0,4.0,8.0
2171393,-10.0,-11.0,-6.0
2882206,-4.0,-14.0,-15.0
2437326,2.0,-2.0,-12.0
405557,5.0,7.0,3.0
300699,-5.0,0.0,2.0
719032,12.0,7.0,12.0
955814,-8.0,4.0,-1.0
1053447,9.0,1.0,13.0
1600068,-12.0,-3.0,-11.0
1250355,4.0,-8.0,1.0
1716602,3.0,7.0,-5.0
2720912,-7.0,-4.0,0.0
3068766,2.0,-5.0,-2.0
33581,-2.0,0.0,-7.0
1714832,4.0,2.0,4.0
2135952,-5.0,-1.0,-3.0
2920603,9.0,4.0,8.0
991547,-9.0,0.0,-5.0
462546,3.0,-6.0,3.0
531541,-2.0,1.0,-8.0
2851695,-1.0,-3.0,0.0
42687,2.0,1.0,-1.0
3321706,5.0,7.0,6.0
902950,2.0,7.0,9.0
2146913,-9.0,-7.0,-2.0
1898671,3.0,-6.0,-4.0
127499,-1.0,2.0,-7.0
3364669,1.0,0.0,3.0
992316,-1.0,0.0,-1.0
152471,7.0,6.0,7.0
1698560,-11.0,-4.0,-5.0
2713359,6.0,-5.0,2.0
1684473,-1.0,5.0,-6.0
920218,-6.0,-7.0,-1.0
2150873,9.0,3.0,2.0
2700076,-6.0,3.0,-3.0
339439,11.0,5.0,14.0
3321938,-10.0,1.0,-5.0
1864165,13.0,3.0,14.0
3110974,-10.0,3.0,-7.0
3044456,-5.0,-15.0,-2.0
2654234,5.0,0.0,-10.0
3274739,-10.0,-5.0,-10.0
461189,5.0,-5.0,0.0
2062462,7.0,12.0,2.0
1733423,6.0,13.0,18.0
833155,-5.0,1.0,8.0
1283891,-5.0,-10.0,-4.0
505302,10.0,5.0,0.0
1322545,-6.0,4.0,-1.0
669262,-8.0,-14.0,-4.0
3400887,10.0,2.0,-4.0
1693324,-12.0,-2.0,-10.0
2885191,10.0,-2.0,8.0
3159241,-1.0,9.0,-3.0
2740715,-2.0,-3.0,7.0
1665886,6.0,4.0,3.0
2825833,0.0,6.0,4.0
2438228,0.0,0.0,6.0
2511909,1.0,1.0,1.0
1958229,-3.0,-2.0,-2.0
2449377,-12.0,-15.0,-14.0
1865455,0.0,-12.0,-15.0
1737743,-2.0,-2.0,-14.0
458100,16.0,14.0,14.0
2656241,-12.0,4.0,2.0
2859817,-3.0,-15.0,1.0
2022456,18.0,15.0,3.0
3301963,-14.0,4.0,1.0
1117823,14.0,0.0,18.0
2296777,0.0,14.0,0.0
283266,0.0,0.0,14.0
1030258,-11.0,-11.0,-11.0
1404740,1.0,-10.0,-10.0
3173217,-1.0,0.0,-11.0
818091,2.0,1.0,2.0
868820,9.0,11.0,10.0
241956,1.0,10.0,12.0
2010519,-1.0,0.0,9.0
2068217,-19.0,-20.0,-19.0
492513,-1.0,-20.0,-21.0
1961697,21.0,20.0,1.0
3392373,-10.0,11.0,10.0
980363,11.0,1.0,22.0
42137,-3.0,8.0,-2.0
806957,-11.0,-14.0,-3.0
2350408,1.0,-10.0,-13.0
2801406,-2.0,-1.0,-12.0
90628,2.0,0.0,1.0
2592541,,,
1645121,8.0,,
602304,5.0,13.0,
1826250,-7.0,-2.0,6.0
889691,-3.0,-10.0,-5.0
2840768,,,
3028723,-4.0,,
2108985,2.0,-2.0,
56741,-1.0,1.0,-3.0
2864780,1.0,0.0,2.0
1339658,,,
983279,1.0,,
1549476,1.0,2.0,
2027508,-3.0,-2.0,-1.0
305227,3.0,0.0,1.0
3182016,-4.0,-1.0,-4.0
3200624,6.0,2.0,5.0
1410699,-10.0,-4.0,-8.0
1644996,3.0,-7.0,-1.0
229260,-1.0,2.0,-8.0
403803,12.0,11.0,14.0
3169239,-13.0,-1.0,-2.0
285386,6.0,-7.0,5.0
581712,-3.0,3.0,-10.0
2822167,-1.0,-4.0,2.0
3050876,3.0,2.0,-1.0
136949,-2.0,1.0,0.0
504014,5.0,3.0,6.0
1926014,-8.0,-3.0,-5.0
2180451,3.0,-5.0,0.0
777305,1.0,4.0,-4.0
3023259,-2.0,-1.0,2.0
556180,7.0,5.0,6.0
249018,,,
2233528,-2.0,,
352411,4.0,2.0,
2558266,-4.0,0.0,-2.0
3036648,3.0,-1.0,3.0
1773722,,,
1230779,-1.0,,
3352942,7.0,6.0,
3109587,-1.0,6.0,5.0
246443,-5.0,-6.0,1.0
269605,0.0,-5.0,-6.0
2042745,5.0,5.0,0.0
2112017,0.0,5.0,5.0
289001,2.0,2.0,7.0
3093478,-4.0,-2.0,-2.0
2911307,0.0,-4.0,-2.0
297123,-5.0,-5.0,-9.0
323314,2.0,-3.0,-3.0
474062,1.0,3.0,-2.0
514072,0.0,1.0,3.0
3289990,-2.0,-2.0,-1.0
2260831,7.0,5.0,5.0
